id,uniq,content,time,edited,member,text,spam,hidden,deleted,pinned,reply_to
21441,5466,1,2019-01-05 02:08:01,,28967,"https://xivdb.com/placename/42/western+thanalan 
Location: Cape Westwind (10X6)
Bait: https://xivdb.com/item/2621/krill+cage+feeder
I caught X7 within 10 min. or less.  
Cheers & fish on!  ^^",0,0,0,0,
21440,8155,1,2018-12-30 17:09:47,,62330,"Obtenue en recyclant une paire de lunette demi-cerclée de façonnier
(coût 5000 sceaux auprès de la Grande Cie)",0,0,0,0,
21439,12826,1,2018-12-30 00:45:35,,10829,"Method worked for me, first try.",0,0,0,0,18200
21438,12937,1,2018-12-29 18:30:19,,62330,"L'absence de précision fait peine à voir sur les posts précédents qui ne servent à rien
Alabathia - Se TP au Camp de la cime des nuages
Position X34/Y30 noeud éphémère apparaissant de 16PM à 20PM
La Pierre de foudre intense donne du sable éthéréen de l'aurore",0,0,0,0,
21437,12876,1,2018-12-28 11:04:03,,62330,Dravania - Arrière-pays dravanien - Quartier des Sages X20.8/Y29.4,0,0,0,0,
21436,6691,1,2018-12-24 07:33:12,,28967,"The best way I have found to get this timeworn map is by fishing it up at https://xivdb.com/placename/413/the+tangle in https://xivdb.com/placename/509/mor+dhona 
Bait: https://xivdb.com/item/2599/honey+worm  You can also use https://xivdb.com/item/2603/glowworm if you like.  
YOU MUST USE https://xivdb.com/action/4100/snagging to fish up the map!
Cheers  ^^",0,0,0,0,
21435,17951,1,2018-12-21 16:21:24,,60322,"As of Patch 4.45, catching an HQ Ichtyosaur seems to be counting as two NQ Ichtyosaur, which leads to the shadows spawning earlier than 11 total fish speared.",0,0,0,0,
21434,21178,1,2018-12-11 17:36:17,,25059,"Horaires : entre 16:00 à 20:00, 
Météo : Clair (63,9%), Dégagé (35,9%), Vents violents (0,3%),
avec Ferrage et Ferrage double, 
Action active : Casaquage,
Appât utilisé : Zazamushi 
Lieu: steppes d'Azim - Azim Khaat.",0,0,0,0,
21433,8150,1,2018-12-11 10:04:48,,62330,Désynthétiser : Lunettes demi-cerclées de façonnier que l'on obtient auprès de la Grande Compagnie pour 5000 sceaux.,0,0,0,0,
21432,7589,1,2018-12-11 09:35:27,,62330,"Téléportation à Gare de Roncenoir/Thanalan
4AM -  X25/Y15 dans la grotte de Désespérance",0,0,0,0,
21431,65889,4,2018-12-07 22:46:20,,62362,"folclind @ x12.5, Y15.0",0,0,0,0,5449
21430,8146,1,2018-12-05 18:51:29,,62330,Recyclage : Gourmettes d'agent impérial HQ,0,0,0,0,
21429,8143,1,2018-12-05 18:28:55,,62330,"Recyclage : Anneau des éthérites, Gourmettes d'agent impérial",0,0,0,0,
21428,8149,1,2018-12-05 17:57:55,,62330,Recyclage :  Anneau des éthérites,0,0,0,0,
21427,2,1,2018-12-04 18:57:27,,18037,Gardening: Firelight Seeds,0,0,0,0,
21426,15865,1,2018-12-04 18:56:38,,18037,"Middle La Noscea ( 22.8  , 19.0 )
LVL 15 hidden",0,0,0,0,
21425,317,7,2018-12-04 00:30:27,,13004,Pain in the rear to find anyone doing this one. It's very difficult to solo -  Get your FC to help!,0,0,0,0,
21424,23875,1,2018-11-25 13:22:03,,25059,Trouvé sur le secteur (Q) Metallifère.,0,0,0,0,
21423,5999,12,2018-11-22 16:40:44,,27663,"A Rank - Yanxia

17, 34",0,0,0,0,
21422,5995,12,2018-11-22 16:23:08,,27663,"A Rank - Les Lacs / Lochs

14, 20",0,0,0,0,
21421,6006,12,2018-11-21 12:59:00,,27663,"B Rank - Steppes d'Azim
24, 30",0,0,0,0,19201
21420,6000,12,2018-11-21 09:52:05,,27663,"A Rank - Steppes d'Azim
9, 25",0,0,0,0,
21419,6005,12,2018-11-21 09:37:59,,27663,"B Rank - Yanxia
21, 9",0,0,0,0,
21418,5998,12,2018-11-21 09:29:59,,27663,"A Rank - Yanxia
17, 13
18, 16",0,0,0,0,
21417,5987,12,2018-11-18 13:16:07,,27663,"S Rank - Les Marges / Fringes
25, 12",0,0,0,0,
21416,5985,12,2018-11-17 11:28:17,,27663,"S Rank - Yanxia
17, 13",0,0,0,0,
21415,6013,12,2018-11-17 10:46:30,,27663,"B Rank - Les Lacs / Lochs

18, 24
25, 16",0,0,0,0,
21414,5994,12,2018-11-17 10:34:59,,27663,"A Rank - Les Lacs / Lochs

6, 8
18, 25",0,0,0,0,
21413,5997,12,2018-11-17 10:31:49,,27663,"A Rank - Mer de Rubis / Ruby Sea
31, 38
23, 33",0,0,0,0,
21412,5996,12,2018-11-17 10:27:24,,27663,"A rank - Mer de Rubis 
19, 8
27, 31
32, 24",0,0,0,0,
21411,6001,12,2018-11-17 10:26:21,,27663,"A Rank - Steppes d'Azim
17, 34
26, 33",0,0,0,0,
21410,5991,12,2018-11-17 10:22:12,,27663,"A Rank - Les Marges / Fringes 

9, 30
18, 12",0,0,0,0,
21409,24243,1,2018-11-17 07:00:12,,57276,"2:00 at about X:28, Y:35 in Yanxia. Namai is the closest aetheryte. Slot 4.",0,0,0,0,
21408,5990,12,2018-11-16 17:16:51,,27663,"A Rank - Les Marges / Fringes
25, 31
16, 24",0,0,0,0,
21407,5527,1,2018-11-16 15:29:23,,62330,Haute-Noscea (La Chênaie) X12.6/Y26.1 - Se téléporter à Port-aux-Ales,0,0,0,0,
21406,20231,1,2018-11-16 03:54:50,,28967,"Zone:  https://xivdb.com/placename/2411/the+azim+steppe
Aetheryte crystal: https://xivdb.com/placename/2822/the+dawn+throne
Level 70 spearfishing nodes at https://xivdb.com/placename/2522
Use Large https://xivdb.com/action/7634/gig+head

The catch rate on the Flamefish is a little bit slow so I turned on https://xivdb.com/action/7911 ability to see the swimming shadows node.  The fish that causes the ""unspoiled teeming waters"" node to spawn is the https://xivdb.com/item/20222/glaring+perch
The only fish I got from this node was the Flamefish so you wanna make sure your GP is topped off and use https://xivdb.com/action/7907/bountiful+catch to catch extra Flamefish.  Worked out great for me.  Spent around 30 min. & I got X18 HQ X17 NQ Flamefish.  
Cheers & happy spearfishing!  ^^",0,0,0,0,
21405,5310,1,2018-11-14 03:38:35,,56204,"Crafters! If you're needing to farm skins, Bentbranch (Central Shroud, 12,19 area) seems to have the best drop rate. See screenshot! Kill Lindwurms! You won't miss any if you go to each of the locations circled in red on the map in the screenshot. Make sure you circle the trees in those marked areas. Alternatively, you can send your retainers on hunts for these lvl 48 hunt. Good luck!",0,0,0,0,
21404,23074,1,2018-11-14 00:16:19,,61434,118 min collectability for best results from Kurenai.,0,0,0,0,
21403,12943,1,2018-11-13 22:34:47,,62330,"Peut aussi être acheté auprès de :
Pasdevillet à Ishgard - Les Contreforts (7.3, 10.6)

Sinon à L'Ecume des cieux de Dravania =12/14 AM-PM - Slot N°3 (X26/Y9)",0,0,0,0,
21402,5462,1,2018-11-12 22:26:28,,62330,"Côte Sud des Iles Ombra - De 6 H 00 à 17 H 00.
Encore plus propice de 9 H 00 à 14 H 00, Patience + Ferrage Précis = 100 % HQ à chaque lancé.",0,0,0,0,
21401,12639,1,2018-11-12 19:19:41,,56204,Co-ords are correct but the closest Portal is Idyllshire. See Screenshot.,0,0,0,0,
21400,21939,1,2018-11-12 01:34:57,,52219,This item can be bought for 8.910 Gil from https://de.xivdb.com/npc/1025177/kasumi at https://xivdb.com/placename/1484/the+gold+saucer (X:7.2 Y:7.3) after aquiring 600 points in total at the fashion report.,0,0,0,0,
21399,6,1,2018-11-11 23:18:58,,62330,Thanalan central - Bassin des Désépinés (X19.3/Y26.6),0,0,1,0,
21398,6,1,2018-11-11 23:18:55,,62330,Thanalan central - Bassin des Désépinés (X19.3/Y26.6),0,0,0,0,
21397,4882,1,2018-11-09 13:36:34,,62330,Phare des Brasseurs - Noscéa Occidentale  (meilleur endroit pour la rentabilité) - X30/Y30.9 (derrière le phare),0,0,0,0,
21396,888,12,2018-11-09 08:32:02,,23491,"U'lamana is an NPC (allied) combatant in two FATEs: Children of the Sands and Revenge of the Worms. She's rather elusive, since she's first out the door and therefore usually first to die, but it is possible to get some screenshots of her if you're standing in front of U'odh's hut before the start of Revenge of the Worms.",0,0,0,0,
21395,20069,1,2018-11-08 22:47:50,,62839,"Caught in Bull's Bath, The Peaks (22,32)
Caught with Suspending Minnow (cloudy weather)",0,0,0,0,
21394,12929,1,2018-11-08 21:57:06,,14169,Also obtained from Subaquatic Voyages to Deep-sea Site 5.,0,0,0,0,
21393,17523,1,2018-11-02 08:31:48,,62839,also can be purchased with Centurio Seals from Ardolain in Foundation (13.0:11.8),0,0,0,0,
21392,12236,1,2018-11-01 12:55:31,,62849,"4.4 : Still working, got 14 amber out of 99 leves :)",0,0,0,0,
